name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chicago, IL, United States",2016-03-01,-0.5,-6.6,-3,-6.5,-14.3,-10,-6.4,77.4,1.34,100,29.17,"rain,snow",0,0,54.7,36.5,10.3,1013.2,91.1,12.5,,,,,2016-03-01T06:24:35,2016-03-01T17:41:30,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-02,0.1,-9.6,-4,0.1,-14.7,-8.2,-13.7,48.3,0,0,0,snow,1.7,1.1,,17.1,254.6,1021.7,42.3,15.9,,,,,2016-03-02T06:22:59,2016-03-02T17:42:41,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-03,0.4,-1.8,-0.7,-1.8,-6.1,-5,-3.5,81.5,1.493,100,41.67,"rain,snow",0,0.8,,21.8,59.4,1019.3,100,8.4,,,,,2016-03-03T06:21:22,2016-03-03T17:43:52,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-04,3.7,-5.6,-0.4,2,-9.5,-3.9,-7.2,60.7,0.872,100,8.33,"rain,snow",0,0.3,33.5,18.5,210.6,1022.2,57,14.8,,,,,2016-03-04T06:19:45,2016-03-04T17:45:03,0.86,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-05,4.1,-1.6,1.8,2.5,-6.3,-1.5,-1.7,77.6,0,0,0,,0,0.2,,19.4,317.3,1020.3,100,11.4,,,,,2016-03-05T06:18:07,2016-03-05T17:46:14,0.89,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-06,11,1.8,6,11,-3,3.2,-0.5,63.7,0,0,0,,0,0,47.8,32,189.7,1020.4,85,15.2,,,,,2016-03-06T06:16:28,2016-03-06T17:47:24,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-07,16.6,8.4,12.7,16.6,5.1,11.7,5.1,60.4,0.182,100,8.33,rain,0,0,40.7,26.9,191.9,1011.9,85.3,16,,,,,2016-03-07T06:14:50,2016-03-07T17:48:34,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-08,21.7,15,17.7,21.7,15,17.7,10.3,62.3,0,0,0,,0,0,51.8,36.5,200.8,1011.4,80.1,16,,,,,2016-03-08T06:13:10,2016-03-08T17:49:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-09,17.6,12,15.5,17.6,12,15.5,11.8,78.9,2.843,100,41.67,rain,0,0,37.1,22.4,225.9,1011.9,95.8,15.3,,,,,2016-03-09T06:11:30,2016-03-09T17:50:53,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-10,11.1,5.5,8.2,11.1,2.9,6.2,3.1,70.3,0,0,0,,0,0,,22.5,24.3,1019.3,95.5,15.8,,,,,2016-03-10T06:09:50,2016-03-10T17:52:03,0.06,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
