name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Chicago,2016-03-12T00:00:00,38.5,38.5,31.9,76.74,0,0,,0,0,,3,77,1025.2,78.4,9.9,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-12T01:00:00,39,39,31.5,74.13,0,0,,0,0,,3,152,1024.3,78.4,9.9,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-12T02:00:00,38.9,38.9,33.2,79.78,0,0,,0,0,,1.1,68,1023.5,78.4,9.1,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-12T03:00:00,38.9,38.9,34.8,85.04,0,0,,0,0,,3,155,1022.9,78.4,7.2,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-12T04:00:00,38,38,34.1,85.95,0,0,,0,0,,0,0,1023,44,5.2,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-12T05:00:00,38,38,34,85.36,0,0,,0,0,,0,0,1022.7,78.4,5.1,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-12T06:00:00,38.5,36.6,34.4,85.24,0,0,,0,0,,3.1,86,1022.5,80.9,3.8,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-12T07:00:00,38.8,38.8,36.2,90.22,0,0,,0,0,,2.6,84,1022.7,80.9,3.4,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-12T08:00:00,41.6,41.6,38.5,88.46,0,0,,0,0,,3,241,1023.1,88.1,2.9,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-03-12T09:00:00,46.5,43.7,41.5,82.63,0,0,,0,0,,5.6,202,1023.5,88.1,3.6,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
